Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What is the Nature of this Code Violation?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location
07/03/2013,Completed,07/10/2013,13-00880276,Sanitation Code Violation,Standing water,3805 N PLAINFIELD AVE,60634,1120051.39618748,1924237.9749225,36,16,17,41.948552785682345,-87.83412213632737,"(41.948552785682345, -87.83412213632737)"
06/07/2013,Completed,07/10/2013,13-00718717,Sanitation Code Violation,Standing water,1245 S PULASKI RD,60623,1149911.47207569,1894106.91413053,24,10,29,41.86534049128377,-87.72514606440004,"(41.86534049128377, -87.72514606440004)"
07/10/2013,Completed,07/11/2013,13-00912801,Sanitation Code Violation,Standing water,2968 N ELSTON AVE,60618,1158704.008895,1919616.86431431,1,14,21,41.9351664759696,-87.69216832921401,"(41.9351664759696, -87.69216832921401)"
07/10/2013,Completed - Dup,07/12/2013,13-00916453,Sanitation Code Violation,Standing water,3935 S TALMAN AVE,60632,1159374.80998473,1878343.95990051,12,9,58,41.82189597896747,-87.69083858423434,"(41.82189597896747, -87.69083858423434)"
07/08/2013,Completed,07/15/2013,13-00896254,Sanitation Code Violation,Standing water,2536 W ARGYLE ST,60625,1158692.12089838,1932994.41092561,47,20,4,41.97187548870096,-87.69184402188482,"(41.97187548870096, -87.69184402188482)"
06/11/2013,Completed,07/15/2013,13-00738008,Sanitation Code Violation,Standing water,7004 S BELL AVE,60636,1162608.13447223,1858176.5200886,17,8,66,41.76648698575245,-87.6795396309385,"(41.76648698575245, -87.6795396309385)"
07/11/2013,Completed,07/16/2013,13-00921478,Sanitation Code Violation,Standing water,2159 W CHASE AVE,60645,1160243.52538263,1948377.89289293,49,24,2,42.01405630095354,-87.68571148001715,"(42.01405630095354, -87.68571148001715)"
06/15/2013,Completed,07/18/2013,13-00762752,Sanitation Code Violation,Standing water,10900 S HALSTED ST,60628,1172920.98101132,1832570.04862183,34,22,75,41.69599798959705,-87.64249252273581,"(41.69599798959705, -87.64249252273581)"
06/18/2013,Completed,07/18/2013,13-00779804,Sanitation Code Violation,Standing water,12552 S EMERALD AVE,60628,1173605.24828759,1821626.38442152,34,5,53,41.66595173562033,-87.64030947578348,"(41.66595173562033, -87.64030947578348)"
07/17/2013,Completed,07/22/2013,13-00967948,Sanitation Code Violation,Standing water,4536 N HARDING AVE,60625,1149242.09793081,1929864.89261148,39,17,14,41.96347678479126,-87.72667485901044,"(41.96347678479126, -87.72667485901044)"
07/15/2013,Completed,07/25/2013,13-00943019,Sanitation Code Violation,Standing water,3822 N PAGE AVE,60634,1121717.01288261,1924421.88286836,36,16,17,41.9490306676829,-87.82799550763644,"(41.9490306676829, -87.82799550763644)"
07/28/2013,Completed,08/01/2013,13-01038891,Sanitation Code Violation,Standing water,3126 S LAWNDALE AVE,60623,1152200.81310056,1883625.32287341,22,10,30,41.83653292658419,-87.7170179165758,"(41.83653292658419, -87.7170179165758)"
07/11/2013,Completed,08/07/2013,13-00924475,Sanitation Code Violation,Standing water,5621 S ROCKWELL ST,60629,1159996.56989844,1867296.7494228,16,8,63,41.791568249647405,-87.6888615184253,"(41.791568249647405, -87.6888615184253)"
08/09/2013,Completed,08/13/2013,13-01125684,Sanitation Code Violation,Standing water,5636 S MCVICKER AVE,60638,1137004.58012511,1866570.59152111,23,8,56,41.79001757817578,-87.77318751253709,"(41.79001757817578, -87.77318751253709)"
08/19/2013,Completed,08/23/2013,13-01184323,Sanitation Code Violation,Standing water,5133 W ARGYLE ST,60630,1141249.19182757,1932763.98161028,45,16,11,41.97158365769855,-87.75599062388451,"(41.97158365769855, -87.75599062388451)"
08/23/2013,Completed,08/26/2013,13-01208872,Sanitation Code Violation,Standing water,1769 W MORSE AVE,60626,1163201.02288779,1946103.89790757,49,24,1,42.007754495274426,-87.67489351282624,"(42.007754495274426, -87.67489351282624)"
08/24/2013,Completed,08/27/2013,13-01217373,Sanitation Code Violation,Standing water,5648 W WARWICK AVE,60634,1138029.92513229,1924367.70201956,38,16,15,41.94860240276267,-87.76803214736114,"(41.94860240276267, -87.76803214736114)"
08/31/2013,Completed - Dup,09/03/2013,13-01263719,Sanitation Code Violation,Standing water,8921 S COMMERCIAL AVE,60617,1197692.77279864,1846390.9129857,10,4,46,41.73334265929042,-87.55133578315758,"(41.73334265929042, -87.55133578315758)"
08/05/2013,Completed,09/03/2013,13-01089993,Sanitation Code Violation,Standing water,7110 S GREENWOOD AVE,60619,1184782.40007939,1858067.04732582,5,3,69,41.765695317478944,-87.59826665015511,"(41.765695317478944, -87.59826665015511)"
08/31/2013,Completed,09/04/2013,13-01263318,Sanitation Code Violation,Standing water,5316 W BYRON ST,60641,1140221.68593299,1925408.16309696,38,16,15,41.95141757558996,-87.75994994696349,"(41.95141757558996, -87.75994994696349)"
08/31/2013,Completed,09/05/2013,13-01259896,Sanitation Code Violation,Standing water,4581 N NARRAGANSETT AVE,60630,1132871.7093265,1930011.61001653,38,16,15,41.96418166611396,-87.7868608135072,"(41.96418166611396, -87.7868608135072)"
09/08/2013,Completed,09/09/2013,13-01308206,Sanitation Code Violation,Standing water,151 W KINZIE ST,60654,1174993.96013341,1902987.25780964,42,18,8,41.889184178339676,-87.63280170947725,"(41.889184178339676, -87.63280170947725)"
09/05/2013,Completed,09/09/2013,13-01291374,Sanitation Code Violation,Standing water,2980 N MILWAUKEE AVE,60618,1151709.86592792,1919669.72958253,35,25,21,41.93545220116397,-87.71787081279192,"(41.93545220116397, -87.71787081279192)"
08/14/2013,Completed,09/09/2013,13-01156086,Sanitation Code Violation,Standing water,615 E 90TH PL,60619,1181923.19651732,1845105.44989689,6,6,44,41.730193848925566,-87.6091463152584,"(41.730193848925566, -87.6091463152584)"
08/15/2013,Completed - Dup,09/09/2013,13-01156973,Sanitation Code Violation,Standing water,615 E 90TH PL,60619,1181923.19651732,1845105.44989689,6,6,44,41.730193848925566,-87.6091463152584,"(41.730193848925566, -87.6091463152584)"
09/18/2013,Completed,09/19/2013,13-01381488,Sanitation Code Violation,Standing water,3447 W MONTROSE AVE,60618,1152514.54948141,1929025.78519779,33,17,16,41.961110009715526,-87.7146653473364,"(41.961110009715526, -87.7146653473364)"
09/19/2013,Completed,09/20/2013,13-01385415,Sanitation Code Violation,Standing water,3319 N OAKLEY AVE,60618,1160450.44170689,1921994.06212672,32,19,5,41.94165363460671,-87.68568411526721,"(41.94165363460671, -87.68568411526721)"
09/17/2013,Completed,09/25/2013,13-01365635,Sanitation Code Violation,Standing water,4540 S HOMAN AVE,60632,1154454.93201252,1874238.14762067,14,8,58,41.81072862113847,-87.70899693358942,"(41.81072862113847, -87.70899693358942)"
09/06/2013,Completed,10/04/2013,13-01297315,Sanitation Code Violation,Standing water,12231 S EMERALD AVE,60628,1173534.10381138,1823757.34897626,34,5,53,41.67180102583295,-87.64050714311824,"(41.67180102583295, -87.64050714311824)"
10/05/2013,Completed,10/07/2013,13-01485976,Sanitation Code Violation,Standing water,1772 W MORSE AVE,60626,1163170.12288779,1946102.99790757,49,24,1,42.00775267772872,-87.67500722577672,"(42.00775267772872, -87.67500722577672)"
10/14/2013,Completed,10/16/2013,13-01532882,Sanitation Code Violation,Standing water,650 N LAKE SHORE DR,60611,1179783.35407347,1904762.25012923,42,18,8,41.89394619496354,-87.61515880512809,"(41.89394619496354, -87.61515880512809)"
10/29/2013,Completed,10/31/2013,13-01622952,Sanitation Code Violation,Standing water,7945 S KOLMAR AVE,60652,1147347.58851874,1851295.82832005,13,8,70,41.74790985826417,-87.73565118799576,"(41.74790985826417, -87.73565118799576)"
10/08/2013,Completed,11/04/2013,13-01502069,Sanitation Code Violation,Standing water,5739 S KIMBARK AVE,60637,1185644.00907959,1867203.18081176,5,2,41,41.79074540773632,-87.59482102478351,"(41.79074540773632, -87.59482102478351)"
11/02/2013,Completed,11/05/2013,13-01645717,Sanitation Code Violation,Standing water,535 N LA SALLE DR,60654,1175044.31361632,1903948.36710681,42,18,8,41.891820387104104,-87.63258796849001,"(41.891820387104104, -87.63258796849001)"
11/12/2013,Completed,11/13/2013,13-01694108,Sanitation Code Violation,Standing water,4815 N NEWLAND AVE,60656,1129254.53401167,1931665.50011818,41,16,10,41.968782649426835,-87.8001225288835,"(41.968782649426835, -87.8001225288835)"
11/10/2013,Completed,11/13/2013,13-01685949,Sanitation Code Violation,Standing water,5305 S HOMAN AVE,60632,1154611.39848885,1869216.15570377,14,8,63,41.79694445719666,-87.70855692171023,"(41.79694445719666, -87.70855692171023)"
11/13/2013,Completed,11/14/2013,13-01704612,Sanitation Code Violation,Standing water,4815 N NEWLAND AVE,60656,1129254.53401167,1931665.50011818,41,16,10,41.968782649426835,-87.8001225288835,"(41.968782649426835, -87.8001225288835)"
11/07/2013,Completed,11/18/2013,13-01673261,Sanitation Code Violation,Standing water,1400 N KOSTNER AVE,60651,1146786.24931908,1908950.68996954,37,25,23,41.90613368578828,-87.73623982264185,"(41.90613368578828, -87.73623982264185)"
11/18/2013,Completed,11/19/2013,13-01728121,Sanitation Code Violation,Standing water,4815 N NEWLAND AVE,60656,1129254.53401167,1931665.50011818,41,16,10,41.968782649426835,-87.8001225288835,"(41.968782649426835, -87.8001225288835)"
12/01/2013,Completed,12/03/2013,13-01790592,Sanitation Code Violation,Standing water,2446 N SEMINARY AVE,60614,1168551.24650021,1916519.09270011,43,19,7,41.92645824773305,-87.65606940929972,"(41.92645824773305, -87.65606940929972)"
12/13/2013,Completed,12/13/2013,13-01845295,Sanitation Code Violation,Standing water,459 W GRANT PL,60614,1172817.83832421,1915237.51477508,43,18,7,41.92284799803049,-87.6404298313045,"(41.92284799803049, -87.6404298313045)"
12/16/2013,Completed,12/24/2013,13-01855489,Sanitation Code Violation,Standing water,10015 S CALIFORNIA AVE,60655,1159446.51879941,1838204.85768743,19,22,72,41.711746894292055,-87.69167402418614,"(41.711746894292055, -87.69167402418614)"
12/27/2013,Completed,12/30/2013,13-01900614,Sanitation Code Violation,Standing water,6620 N GLENWOOD AVE,60626,1165727.73258606,1944254.01008642,40,24,1,42.00262466618384,-87.66565031701732,"(42.00262466618384, -87.66565031701732)"
12/30/2013,Completed,01/03/2014,13-01906850,Sanitation Code Violation,Standing water,5114 W PARKER AVE,60639,1141816.96878752,1917804.61798625,31,25,19,41.93052327980907,-87.75427446211229,"(41.93052327980907, -87.75427446211229)"
01/10/2014,Completed,01/11/2014,14-00042028,Sanitation Code Violation,Standing water,13202 S BUFFALO AVE,60633,1200087.67509834,1818031.27778356,10,4,55,41.65546113005805,-87.54351496508573,"(41.65546113005805, -87.54351496508573)"
01/13/2014,Completed,01/14/2014,14-00059855,Sanitation Code Violation,Standing water,1941 W BELLE PLAINE AVE,60613,1162667.16399482,1927239.80909903,47,19,5,41.956001993934095,-87.67738920119365,"(41.956001993934095, -87.67738920119365)"
01/12/2014,Completed,01/14/2014,14-00049138,Sanitation Code Violation,Standing water,3130 W WALTON ST,60622,1155293.92796843,1906164.39540269,26,12,23,41.89832108564496,-87.70506272400144,"(41.89832108564496, -87.70506272400144)"
01/15/2014,Completed,01/16/2014,14-00073936,Sanitation Code Violation,Standing water,2508 W 64TH ST,60629,1160720.11357335,1862139.19007641,15,8,66,41.77740028908704,-87.68635071152175,"(41.77740028908704, -87.68635071152175)"
01/15/2014,Completed,01/17/2014,14-00068197,Sanitation Code Violation,Standing water,4108 N DAMEN AVE,60618,1162277.93300543,1927315.57012485,47,19,5,41.95621805234183,-87.67881797710693,"(41.95621805234183, -87.67881797710693)"
02/04/2014,Completed,02/04/2014,14-00163089,Sanitation Code Violation,Standing water,3750 N HARDING AVE,60618,1149455.49940349,1924303.83737361,30,17,16,41.948212683383716,-87.72603514060887,"(41.948212683383716, -87.72603514060887)"
01/16/2014,Completed,02/10/2014,14-00075240,Sanitation Code Violation,Standing water,4053 N DAMEN AVE,60618,1162287.19777253,1927020.42990801,47,19,5,41.95540797862795,-87.67879220470313,"(41.95540797862795, -87.67879220470313)"
02/19/2014,Completed,02/20/2014,14-00235941,Sanitation Code Violation,Standing water,3405 N SEELEY AVE,60618,1162084.54951977,1922604.90080115,32,19,5,41.943295774748954,-87.67966098021269,"(41.943295774748954, -87.67966098021269)"
02/20/2014,Completed - Dup,02/21/2014,14-00244215,Sanitation Code Violation,Standing water,3305 N DAMEN AVE,60618,1162430.32760037,1921968.75497461,32,19,5,41.94154291206213,-87.67840793672103,"(41.94154291206213, -87.67840793672103)"
02/20/2014,Completed,02/21/2014,14-00244214,Sanitation Code Violation,Standing water,3305 N DAMEN AVE,60618,1162430.32760037,1921968.75497461,32,19,5,41.94154291206213,-87.67840793672103,"(41.94154291206213, -87.67840793672103)"
02/20/2014,Completed,02/21/2014,14-00244710,Sanitation Code Violation,Standing water,2003 W CORNELIA AVE,60618,1162362.65719015,1923241.36147321,32,19,5,41.94503643403034,-87.67862092705063,"(41.94503643403034, -87.67862092705063)"
02/21/2014,Completed,02/24/2014,14-00250778,Sanitation Code Violation,Standing water,825 W BRADLEY PL,60613,1170083.43406841,1925149.45013197,46,19,6,41.950106969116895,-87.65018664834466,"(41.950106969116895, -87.65018664834466)"
02/19/2014,Completed - Dup,02/24/2014,14-00236123,Sanitation Code Violation,Standing water,922 W WILSON AVE,60640,1169292.76011931,1930737.57161817,46,19,3,41.96545822553024,-87.65292996819097,"(41.96545822553024, -87.65292996819097)"
02/19/2014,Completed - Dup,02/24/2014,14-00236124,Sanitation Code Violation,Standing water,916 W WILSON AVE,60640,1169332.16011931,1930738.67161817,46,19,3,41.96546038531508,-87.65278507189709,"(41.96546038531508, -87.65278507189709)"
